R&D Spend,Administration,Marketing Spend,State
165349.2,136897.8,471784.1,New York
162597.7,151377.59,443898.53,California
153441.51,101145.55,407934.54,Florida
144372.41,118671.85,383199.62,New York
142107.34,91319.77,366168.42,Florida
131876.9,99814.71,362861.36,New York
134615.46,147198.87,127716.82,California
130298.13,145530.06,323876.68,Florida
120542.52,148718.95,311613.29,New York
123334.88,108679.17,304981.62,California
101913.08,110594.11,229160.95,Florida
100671.96,91790.61,249744.55,California
93873.75,127320.38,249838.44,Florida
91992.93,135495.07,252664.93,California
119943.24,156547.42,256512.92,Florida
114523.61,122616.84,261776.23,New York
78013.11,121597.55,264346.06,California
94657.16,145077.58,282574.31,New York
91749.16,114175.79,294919.57,Florida
86419.7,153514.11,0,New York
76253.86,113867.3,298664.47,California
78389.47,153773.43,299737.29,New York
73994.56,122782.75,303319.26,Florida
